,link,max_salary,min_salary,site,title
75,https://spb.hh.ru/vacancy/36792723?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,68500грн.,27500грн.,https://hh.ru,Помощник руководителя в приемную Леонида Черновецкого
76,https://spb.hh.ru/vacancy/37385267?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,150000руб.,50000руб.,https://hh.ru,Продавец-консультант мебели
77,https://spb.hh.ru/vacancy/37251828?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,135000руб.,,https://hh.ru,Руководитель отдела продаж интернет-магазина (женская одежда)
78,https://spb.hh.ru/vacancy/30687949?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,,850бел.руб.,https://hh.ru,Помощник менеджера по продажам
79,https://spb.hh.ru/vacancy/37403398?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,,70000руб.,https://hh.ru,Механик-автослесарь
80,https://spb.hh.ru/vacancy/31086711?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,900бел.руб.,,https://hh.ru,Повар-пиццер
81,https://spb.hh.ru/vacancy/37305231?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,90000руб.,50000руб.,https://hh.ru,Менеджер по продажам
82,https://spb.hh.ru/vacancy/37148072?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,150000руб.,70000руб.,https://hh.ru,Менеджер / куратор - координатор объектов (проектов Аутсорсинг)
83,https://spb.hh.ru/vacancy/37383210?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,,80000руб.,https://hh.ru,Менеджер по ведению строительных объектов
84,https://spb.hh.ru/vacancy/37379052?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,4000бел.руб.,800бел.руб.,https://hh.ru,Региональный менеджер по продажам
85,https://spb.hh.ru/vacancy/37352502?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,,1000000KZT,https://hh.ru,Директор по продажам
86,https://spb.hh.ru/vacancy/37353689?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,,,https://hh.ru,Экономист
